City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Cape Town,90,ZA,1563819851,87,-33.93,18.42,61,27.51
Cape Town,90,ZA,1563819851,87,-33.93,18.42,61,27.51
